datetime_beginning_ept,total_lmp_da
2024-06-13T12:00:00,32.240102
2024-06-13T13:00:00,32.50368
2024-06-13T14:00:00,36.755066
2024-06-13T15:00:00,46.386537
2024-06-13T16:00:00,53.059167
2024-06-13T17:00:00,55.473657
2024-06-13T18:00:00,52.821292
2024-06-13T19:00:00,47.852102
2024-06-13T20:00:00,35.630865
2024-06-13T21:00:00,33.28312
2024-06-13T22:00:00,26.313345
2024-06-13T23:00:00,19.610467
2024-06-14T00:00:00,20.124466
2024-06-14T01:00:00,17.907245
2024-06-14T02:00:00,15.712281
2024-06-14T03:00:00,14.355056
2024-06-14T04:00:00,13.675013
2024-06-14T05:00:00,16.306711
2024-06-14T06:00:00,18.834145
2024-06-14T07:00:00,20.333404
2024-06-14T08:00:00,21.897332
2024-06-14T09:00:00,26.220458
2024-06-14T10:00:00,27.848021
2024-06-14T11:00:00,32.839386
2024-06-14T12:00:00,34.494196
2024-06-14T13:00:00,36.528018
2024-06-14T14:00:00,38.266697
2024-06-14T15:00:00,42.093268
2024-06-14T16:00:00,42.473284
2024-06-14T17:00:00,43.256559
2024-06-14T18:00:00,37.353211
2024-06-14T19:00:00,34.472903
2024-06-14T20:00:00,30.989831
2024-06-14T21:00:00,28.267693
2024-06-14T22:00:00,22.739853
2024-06-14T23:00:00,19.109494
2024-06-15T00:00:00,13.405532
2024-06-15T01:00:00,13.394494
2024-06-15T02:00:00,11.949158
2024-06-15T03:00:00,11.038375
2024-06-15T04:00:00,9.996472
2024-06-15T05:00:00,9.431831
2024-06-15T06:00:00,8.94291
2024-06-15T07:00:00,7.687671
2024-06-15T08:00:00,10.124995
2024-06-15T09:00:00,15.270317
2024-06-15T10:00:00,14.848521
2024-06-15T11:00:00,16.022916
2024-06-15T12:00:00,18.112861
2024-06-15T13:00:00,19.6054
2024-06-15T14:00:00,21.884201
2024-06-15T15:00:00,24.861875
2024-06-15T16:00:00,29.686388
2024-06-15T17:00:00,31.955428
2024-06-15T18:00:00,30.116525
2024-06-15T19:00:00,27.485968
2024-06-15T20:00:00,19.420185
2024-06-15T21:00:00,17.156347
2024-06-15T22:00:00,13.548524
2024-06-15T23:00:00,11.364016
2024-06-16T00:00:00,7.629037
2024-06-16T01:00:00,7.601032
2024-06-16T02:00:00,7.864525
2024-06-16T03:00:00,5.748326
2024-06-16T04:00:00,4.574158
2024-06-16T05:00:00,5.130228
2024-06-16T06:00:00,4.575885
2024-06-16T07:00:00,4.271361
2024-06-16T08:00:00,8.395261
2024-06-16T09:00:00,11.429822
2024-06-16T10:00:00,15.087762
2024-06-16T11:00:00,18.328036
2024-06-16T12:00:00,24.932272
2024-06-16T13:00:00,28.265312
2024-06-16T14:00:00,30.77541
2024-06-16T15:00:00,32.954067
2024-06-16T16:00:00,37.489052
2024-06-16T17:00:00,45.427333
2024-06-16T18:00:00,47.283175
2024-06-16T19:00:00,46.53636
2024-06-16T20:00:00,37.757469
2024-06-16T21:00:00,32.273784
2024-06-16T22:00:00,28.196087
2024-06-16T23:00:00,22.033882
2024-06-17T00:00:00,14.854796
2024-06-17T01:00:00,13.332222
2024-06-17T02:00:00,12.926247
2024-06-17T03:00:00,11.865326
2024-06-17T04:00:00,10.946266
2024-06-17T05:00:00,10.181292
2024-06-17T06:00:00,12.131819
2024-06-17T07:00:00,16.149345
2024-06-17T08:00:00,22.093216
2024-06-17T09:00:00,29.433413
2024-06-17T10:00:00,33.881219
2024-06-17T11:00:00,34.377226
2024-06-17T12:00:00,43.361929
2024-06-17T13:00:00,49.381039
2024-06-17T14:00:00,51.950842
2024-06-17T15:00:00,59.178862
2024-06-17T16:00:00,69.240612
2024-06-17T17:00:00,75.59598
2024-06-17T18:00:00,74.503364
2024-06-17T19:00:00,64.41741
2024-06-17T20:00:00,45.577053
2024-06-17T21:00:00,40.086197
2024-06-17T22:00:00,32.434648
2024-06-17T23:00:00,30.109859
2024-06-18T00:00:00,22.970941
2024-06-18T01:00:00,16.201533
2024-06-18T02:00:00,15.015065
2024-06-18T03:00:00,12.711756
2024-06-18T04:00:00,12.638049
2024-06-18T05:00:00,14.009683
2024-06-18T06:00:00,18.459008
2024-06-18T07:00:00,20.299496
2024-06-18T08:00:00,26.455671
2024-06-18T09:00:00,26.970017
2024-06-18T10:00:00,31.392259
2024-06-18T11:00:00,34.292212
2024-06-18T12:00:00,42.101385
2024-06-18T13:00:00,48.919196
2024-06-18T14:00:00,57.427881
2024-06-18T15:00:00,64.955647
2024-06-18T16:00:00,72.204012
2024-06-18T17:00:00,75.508195
2024-06-18T18:00:00,67.949218
2024-06-18T19:00:00,57.249735
2024-06-18T20:00:00,43.35626
2024-06-18T21:00:00,36.998153
2024-06-18T22:00:00,30.126164
2024-06-18T23:00:00,27.495547
2024-06-19T00:00:00,28.367553
2024-06-19T01:00:00,25.662675
2024-06-19T02:00:00,21.820799
2024-06-19T03:00:00,19.731554
2024-06-19T04:00:00,18.613164
2024-06-19T05:00:00,21.997878
2024-06-19T06:00:00,20.796168
2024-06-19T07:00:00,24.99443
2024-06-19T08:00:00,29.57932
2024-06-19T09:00:00,31.925191
2024-06-19T10:00:00,35.642328
2024-06-19T11:00:00,39.050714
2024-06-19T12:00:00,44.920604
2024-06-19T13:00:00,48.846428
2024-06-19T14:00:00,53.283865
2024-06-19T15:00:00,63.341629
2024-06-19T16:00:00,73.401897
2024-06-19T17:00:00,75.902992
2024-06-19T18:00:00,69.088533
2024-06-19T19:00:00,58.820667
2024-06-19T20:00:00,48.134296
2024-06-19T21:00:00,43.239303
2024-06-19T22:00:00,35.601979
2024-06-19T23:00:00,31.341039
2024-06-20T00:00:00,26.547625
2024-06-20T01:00:00,22.397009
2024-06-20T02:00:00,19.552714
2024-06-20T03:00:00,18.234646
2024-06-20T04:00:00,18.103498
2024-06-20T05:00:00,20.172027
2024-06-20T06:00:00,23.541541
2024-06-20T07:00:00,25.962969
2024-06-20T08:00:00,27.618726
2024-06-20T09:00:00,31.831555
2024-06-20T10:00:00,39.196655
2024-06-20T11:00:00,44.031061
2024-06-20T12:00:00,53.939259
2024-06-20T13:00:00,62.614111
2024-06-20T14:00:00,67.549067
2024-06-20T15:00:00,73.211444
2024-06-20T16:00:00,88.345176
2024-06-20T17:00:00,92.202754
2024-06-20T18:00:00,79.919924
2024-06-20T19:00:00,67.871028
2024-06-20T20:00:00,54.770939
2024-06-20T21:00:00,54.715456
2024-06-20T22:00:00,38.679694
2024-06-20T23:00:00,33.757052
2024-06-21T00:00:00,19.38652
2024-06-21T01:00:00,13.456539
2024-06-21T02:00:00,12.765298
2024-06-21T03:00:00,11.890816
2024-06-21T04:00:00,11.286828
2024-06-21T05:00:00,12.789385
2024-06-21T06:00:00,14.11342
2024-06-21T07:00:00,21.250521
2024-06-21T08:00:00,25.359317
2024-06-21T09:00:00,29.333386
2024-06-21T10:00:00,35.691248
2024-06-21T11:00:00,42.374269
2024-06-21T12:00:00,49.373253
2024-06-21T13:00:00,58.017209
2024-06-21T14:00:00,70.035492
2024-06-21T15:00:00,83.293627
2024-06-21T16:00:00,99.962502
2024-06-21T17:00:00,106.480177
2024-06-21T18:00:00,87.933751
2024-06-21T19:00:00,68.538516
2024-06-21T20:00:00,50.542956
2024-06-21T21:00:00,43.594311
2024-06-21T22:00:00,34.446156
2024-06-21T23:00:00,30.544637
2024-06-22T00:00:00,13.683127
2024-06-22T01:00:00,13.891119
2024-06-22T02:00:00,13.730599
2024-06-22T03:00:00,12.855531
2024-06-22T04:00:00,10.588114
2024-06-22T05:00:00,10.130608
2024-06-22T06:00:00,9.438043
2024-06-22T07:00:00,10.548028
2024-06-22T08:00:00,14.021332
2024-06-22T09:00:00,23.371462
2024-06-22T10:00:00,29.699737
2024-06-22T11:00:00,31.621485
2024-06-22T12:00:00,34.459316
2024-06-22T13:00:00,37.842134
2024-06-22T14:00:00,41.693889
2024-06-22T15:00:00,51.453303
2024-06-22T16:00:00,62.023048
2024-06-22T17:00:00,65.668911
2024-06-22T18:00:00,56.226028
2024-06-22T19:00:00,42.050147
2024-06-22T20:00:00,28.326576
2024-06-22T21:00:00,24.254957
2024-06-22T22:00:00,19.952029
2024-06-22T23:00:00,17.746167
2024-06-23T00:00:00,14.188986
2024-06-23T01:00:00,14.552298
2024-06-23T02:00:00,12.336558
2024-06-23T03:00:00,10.850899
2024-06-23T04:00:00,8.481996
2024-06-23T05:00:00,8.925466
2024-06-23T06:00:00,7.594149
2024-06-23T07:00:00,12.255762
2024-06-23T08:00:00,16.97089
2024-06-23T09:00:00,22.92693
2024-06-23T10:00:00,24.636335
2024-06-23T11:00:00,27.580697
2024-06-23T12:00:00,28.528206
2024-06-23T13:00:00,30.650033
2024-06-23T14:00:00,29.573558
2024-06-23T15:00:00,32.895704
2024-06-23T16:00:00,36.128867
2024-06-23T17:00:00,43.904927
2024-06-23T18:00:00,35.418185
2024-06-23T19:00:00,35.335731
2024-06-23T20:00:00,32.793595
2024-06-23T21:00:00,30.537787
2024-06-23T22:00:00,28.963729
2024-06-23T23:00:00,23.81736
2024-06-24T00:00:00,15.706657
2024-06-24T01:00:00,16.169532
2024-06-24T02:00:00,15.042176
2024-06-24T03:00:00,13.527128
2024-06-24T04:00:00,13.543005
2024-06-24T05:00:00,13.219458
2024-06-24T06:00:00,13.47348
2024-06-24T07:00:00,19.334269
2024-06-24T08:00:00,21.62581
2024-06-24T09:00:00,25.10258
2024-06-24T10:00:00,26.40445
2024-06-24T11:00:00,31.022806
2024-06-24T12:00:00,34.790006
2024-06-24T13:00:00,37.789342
2024-06-24T14:00:00,38.188369
2024-06-24T15:00:00,40.213542
2024-06-24T16:00:00,45.271518
2024-06-24T17:00:00,47.890138
2024-06-24T18:00:00,43.674387
2024-06-24T19:00:00,43.548834
2024-06-24T20:00:00,35.936213
2024-06-24T21:00:00,35.349263
2024-06-24T22:00:00,25.392264
2024-06-24T23:00:00,23.11999
2024-06-25T00:00:00,12.481739
2024-06-25T01:00:00,11.912175
2024-06-25T02:00:00,12.789719
2024-06-25T03:00:00,11.758193
2024-06-25T04:00:00,10.187976
2024-06-25T05:00:00,9.980587
2024-06-25T06:00:00,11.774502
2024-06-25T07:00:00,14.703417
2024-06-25T08:00:00,19.207976
2024-06-25T09:00:00,20.337054
2024-06-25T10:00:00,24.730592
2024-06-25T11:00:00,29.522421
2024-06-25T12:00:00,33.95892
2024-06-25T13:00:00,36.18629
2024-06-25T14:00:00,40.015459
2024-06-25T15:00:00,45.049443
2024-06-25T16:00:00,56.501626
2024-06-25T17:00:00,63.652798
2024-06-25T18:00:00,60.682136
2024-06-25T19:00:00,57.091226
2024-06-25T20:00:00,43.112225
2024-06-25T21:00:00,38.181657
2024-06-25T22:00:00,32.121368
2024-06-25T23:00:00,26.273383
2024-06-26T00:00:00,23.605567
2024-06-26T01:00:00,20.557049
2024-06-26T02:00:00,18.319821
2024-06-26T03:00:00,16.598256
2024-06-26T04:00:00,15.93955
2024-06-26T05:00:00,19.938987
2024-06-26T06:00:00,20.856133
2024-06-26T07:00:00,22.617299
2024-06-26T08:00:00,25.511335
2024-06-26T09:00:00,27.493348
2024-06-26T10:00:00,31.740303
2024-06-26T11:00:00,35.386949
2024-06-26T12:00:00,35.67157
2024-06-26T13:00:00,35.290985
2024-06-26T14:00:00,35.434777
2024-06-26T15:00:00,36.59529
2024-06-26T16:00:00,39.946561
2024-06-26T17:00:00,40.336278
2024-06-26T18:00:00,38.145344
2024-06-26T19:00:00,36.131706
2024-06-26T20:00:00,36.341656
2024-06-26T21:00:00,34.675091
2024-06-26T22:00:00,27.854541
2024-06-26T23:00:00,23.427837
2024-06-27T00:00:00,22.929257
2024-06-27T01:00:00,22.083719
2024-06-27T02:00:00,18.232806
2024-06-27T03:00:00,16.649477
2024-06-27T04:00:00,15.44405
2024-06-27T05:00:00,16.445488
2024-06-27T06:00:00,19.582957
2024-06-27T07:00:00,22.889262
2024-06-27T08:00:00,24.515828
2024-06-27T09:00:00,25.005263
2024-06-27T10:00:00,26.916564
2024-06-27T11:00:00,29.136185
2024-06-27T12:00:00,31.943763
2024-06-27T13:00:00,33.822686
2024-06-27T14:00:00,35.370701
2024-06-27T15:00:00,36.958269
2024-06-27T16:00:00,39.616526
2024-06-27T17:00:00,39.124218
2024-06-27T18:00:00,36.292491
2024-06-27T19:00:00,31.851204
2024-06-27T20:00:00,28.891641
2024-06-27T21:00:00,27.526698
2024-06-27T22:00:00,19.759626
2024-06-27T23:00:00,16.040081
2024-06-28T00:00:00,13.638636
2024-06-28T01:00:00,12.094568
2024-06-28T02:00:00,10.0551
2024-06-28T03:00:00,8.53599
2024-06-28T04:00:00,7.513387
2024-06-28T05:00:00,7.812258
2024-06-28T06:00:00,2.853951
2024-06-28T07:00:00,8.486182
2024-06-28T08:00:00,12.238798
2024-06-28T09:00:00,13.436931
2024-06-28T10:00:00,13.70979
